Key,Polish
TKodyKrajowUE.AT,AUSTRIA
TKodyKrajowUE.BE,BELGIA
TKodyKrajowUE.BG,BUŁGARIA
TKodyKrajowUE.CY,CYPR
TKodyKrajowUE.CZ,CZECHY
TKodyKrajowUE.DK,DANIA
TKodyKrajowUE.EE,ESTONIA
TKodyKrajowUE.FI,FINLANDIA
TKodyKrajowUE.FR,FRANCJA
TKodyKrajowUE.DE,NIEMCY
TKodyKrajowUE.EL,GRECJA
TKodyKrajowUE.HR,CHORWACJA
TKodyKrajowUE.HU,WĘGRY
TKodyKrajowUE.IE,IRLANDIA
TKodyKrajowUE.IT,WŁOCHY
TKodyKrajowUE.LV,ŁOTWA
TKodyKrajowUE.LT,LITWA
TKodyKrajowUE.LU,LUKSEMBURG
TKodyKrajowUE.MT,MALTA
TKodyKrajowUE.NL,HOLANDIA
TKodyKrajowUE.PL,POLSKA
TKodyKrajowUE.PT,PORTUGALIA
TKodyKrajowUE.RO,RUMUNIA
TKodyKrajowUE.SK,SŁOWACJA
TKodyKrajowUE.SI,SŁOWENIA
TKodyKrajowUE.ES,HISZPANIA
TKodyKrajowUE.SE,SZWECJA
TKodyKrajowUE.XI,IRLANDIA PÓŁNOCNA
TKodWaluty.AED,DIRHAM ZEA
TKodWaluty.AFN,AFGANI
TKodWaluty.ALL,LEK
TKodWaluty.AMD,DRAM
TKodWaluty.ANG,GULDEN ANTYLI HOLENDERSKICH
TKodWaluty.AOA,KWANZA
TKodWaluty.ARS,PESO ARGENTYŃSKIE
TKodWaluty.AUD,DOLAR AUSTRALIJSKI
TKodWaluty.AWG,GULDEN ARUBAŃSKI
TKodWaluty.AZN,MANAT AZERBEJDŻAŃSKI
TKodWaluty.BAM,MARKA ZAMIENNA
TKodWaluty.BBD,DOLAR BARBADOSKI
TKodWaluty.BDT,TAKA
TKodWaluty.BGN,LEW
TKodWaluty.BHD,DINAR BAHRAJSKI
TKodWaluty.BIF,FRANK BURUNDYJSKI
TKodWaluty.BMD,DOLAR BERMUDZKI
TKodWaluty.BND,DOLAR BRUNEJSKI
TKodWaluty.BOB,BOLIWIANO
TKodWaluty.BOV,BOLIWIANO MVDOL
TKodWaluty.BRL,REAL
TKodWaluty.BSD,DOLAR BAHAMSKI
TKodWaluty.BTN,NGULTRUM
TKodWaluty.BWP,PULA
